Month,Retail Sales
1992-01,118643
1992-02,118514
1992-03,117719
1992-04,118192
1992-05,118552
1992-06,118557
1992-07,119078
1992-08,119174
1992-09,120062
1992-10,120452
1992-11,120355
1992-12,121571
1993-01,122604
1993-02,121433
1993-03,120257
1993-04,122925
1993-05,123748
1993-06,123493
1993-07,125093
1993-08,124787
1993-09,125379
1993-10,125625
1993-11,126538
1993-12,127368
1994-01,126540
1994-02,128205
1994-03,130243
1994-04,130185
1994-05,129451
1994-06,130626
1994-07,130568
1994-08,131649
1994-09,132454
1994-10,133587
1994-11,133326
1994-12,133691
1995-01,133942
1995-02,131467
1995-03,132427
1995-04,132443
1995-05,133460
1995-06,134847
1995-07,134311
1995-08,135075
1995-09,135191
1995-10,134304
1995-11,135759
1995-12,136734
1996-01,134926
1996-02,136781
1996-03,137527
1996-04,137504
1996-05,138302
1996-06,137881
1996-07,137818
1996-08,137630
1996-09,139023
1996-10,139721
1996-11,139250
1996-12,139471
1997-01,140228
1997-02,141145
1997-03,141512
1997-04,140455
1997-05,139403
1997-06,141104
1997-07,142605
1997-08,142610
1997-09,142856
1997-10,142305
1997-11,142539
1997-12,142891
1998-01,142966
1998-02,143002
1998-03,143854
1998-04,145485
1998-05,145790
1998-06,146780
1998-07,145480
1998-08,144683
1998-09,145897
1998-10,147975
1998-11,148877
1998-12,149986
1999-01,149903
1999-02,151494
1999-03,152098
1999-04,152151
1999-05,153457
1999-06,153899
1999-07,154434
1999-08,155747
1999-09,155752
1999-10,155756
1999-11,157294
1999-12,159879
2000-01,158353
2000-02,160015
2000-03,160944
2000-04,158571
2000-05,158539
2000-06,158792
2000-07,157868
2000-08,158051
2000-09,159863
2000-10,159271
2000-11,158397
2000-12,157919
2001-01,158833
2001-02,158409
2001-03,156998
2001-04,159183
2001-05,158796
2001-06,157790
2001-07,157566
2001-08,158638
2001-09,155022
2001-10,165886
2001-11,161668
2001-12,159923
2002-01,159585
2002-02,160147
2002-03,159248
2002-04,161086
2002-05,158767
2002-06,160023
2002-07,161348
2002-08,162101
2002-09,159529
2002-10,159849
2002-11,160592
2002-12,161613
2003-01,161721
2003-02,158599
2003-03,161148
2003-04,161384
2003-05,162062
2003-06,163670
2003-07,164845
2003-08,166812
2003-09,165287
2003-10,164877
2003-11,166804
2003-12,165706
2004-01,166004
2004-02,166815
2004-03,169413
2004-04,167326
2004-05,169502
2004-06,166764
2004-07,168475
2004-08,168603
2004-09,171058
2004-10,171240
2004-11,171044
2004-12,173136
2005-01,172129
2005-02,172975
2005-03,172149
2005-04,174493
2005-05,172912
2005-06,176996
2005-07,178229
2005-08,174818
2005-09,172746
2005-10,173128
2005-11,175418
2005-12,175533
2006-01,179535
2006-02,177781
2006-03,178354
2006-04,178422
2006-05,176970
2006-06,177195
2006-07,177514
2006-08,176963
2006-09,176968
2006-10,177713
2006-11,177992
2006-12,179744
2007-01,178627
2007-02,178325
2007-03,179136
2007-04,177785
2007-05,179451
2007-06,177891
2007-07,178302
2007-08,178773
2007-09,179622
2007-10,179313
2007-11,179370
2007-12,177697
2008-01,177089
2008-02,175004
2008-03,174598
2008-04,175172
2008-05,174803
2008-06,173674
2008-07,171665
2008-08,170957
2008-09,167695
2008-10,163096
2008-11,160182
2008-12,157476
2009-01,159399
2009-02,158417
2009-03,155959
2009-04,156267
2009-05,157772
2009-06,158490
2009-07,159243
2009-08,161908
2009-09,157556
2009-10,158361
2009-11,159495
2009-12,159997
2010-01,160216
2010-02,160392
2010-03,163837
2010-04,164769
2010-05,163917
2010-06,163730
2010-07,163687
2010-08,164555
2010-09,165620
2010-10,167413
2010-11,168020
2010-12,168440
2011-01,169295
2011-02,169993
2011-03,170682
2011-04,170670
2011-05,170136
2011-06,171277
2011-07,171266
2011-08,170829
2011-09,171904
2011-10,173772
2011-11,173889
2011-12,173442
2012-01,174759
2012-02,176532
2012-03,176733
2012-04,175811
2012-05,175952
2012-06,174272
2012-07,175321
2012-08,176620
2012-09,177720
2012-10,177156
2012-11,178282
2012-12,178964
2013-01,180071
2013-02,180849
2013-03,179676
2013-04,180034
2013-05,180718
2013-06,181086
2013-07,181778
2013-08,181149
2013-09,181553
2013-10,182562
2013-11,182488
2013-12,183009
2014-01,180450
2014-02,181807
2014-03,184187
2014-04,184856
2014-05,185001
2014-06,185251
2014-07,185578
2014-08,187067
2014-09,186768
2014-10,187373
2014-11,188633
